,TI203,PI215,PI216,PI218,MP-1101,PI255A,TI405,TI401,FT402,T_wbulb,SSC_gros
441,180.375,8.911132813,8.875,9.080078125,57.05666733,0.15112304699999998,51.71508789,28.21655273,6788.788086,17.34511757,8.047280312
442,180.4359436,8.911132813,8.875,9.088867188,57.05666733,0.151977539,51.80053711,28.2043457,7080.556151999999,17.63799095,8.044247627
443,180.34452819999998,8.919921875,8.884765625,9.086914063,56.97480774,0.153320313,51.98364258,28.46679688,7356.206055,17.66507339,8.073302269
445,180.40547180000002,8.9609375,8.921875,9.1171875,57.03327942,0.156616211,52.38647461,28.74145508,7033.853515999999,18.23711395,8.055259705
447,180.40547180000002,8.920898438,8.884765625,9.077148438,56.91633606,0.15710449199999998,52.53295898,28.82080078,7089.171387,18.37190247,8.056941032000001
449,180.34452819999998,8.942382813,8.907226563,9.126953125,57.0098877,0.156188965,52.27661133,28.6315918,6909.978515999999,18.16427231,8.071998596
450,180.4359436,8.953125,8.912109375,9.095703125,57.16191483,0.155883789,52.25219727,28.60717773,6823.314453,18.03296852,8.05637455
455,180.4207001,8.889648438,8.858398438,9.059570313,57.0917511,0.150024414,51.47705078,28.32641602,6858.111328,16.89485741,8.044764519
457,180.48164369999998,8.895507813,8.860351563,9.0546875,57.0917511,0.15045166,51.53198242,28.0456543,6908.211914,17.06575012,8.045402527
458,180.35977169999998,8.903320313,8.864257813,9.063476563,57.11513901,0.149108887,51.446533200000005,27.93579102,7177.727539,16.5292511,8.055625916
459,180.4511719,8.885742188,8.8515625,9.041992188,57.03327942,0.150268555,51.47094727,28.02734375,7143.206055,17.05959511,8.067666054
460,180.35977169999998,8.892578125,8.857421875,9.051757813,57.04497147,0.149414063,51.47094727,27.97851563,7129.521484000001,17.06549072,8.044981956
461,180.4511719,8.866210938,8.8359375,9.049804688,56.92802811,0.14965820300000002,51.33666992,27.9296875,6773.036620999999,16.47394371,8.056816101
462,180.39022830000002,8.88671875,8.848632813,9.05078125,57.10344315,0.147460938,51.01928711,27.60009766,7029.513672,16.07231331,8.051291466
463,180.4511719,8.889648438,8.854492188,9.05859375,57.18530273,0.147460938,51.20239258,27.79541016,6928.0625,16.41209793,8.034071922
